Platform,Model Name,price,color,Model Code,Frame,Fork,Headset,Rear Derailleur,Front Derailleur,Shifters,Chain,Crank,Rear Cogs,Bottom Bracket,Brakes,Brake Levers,Front Hub,Rear Hub,Rims,Spokes,Tire Size,Wheel Size,Tires,Front Tire,Rear Tire,Handlebar,Stem,Grips,Saddle,Seatpost,Wheel Sensor,Extra 1,image_url,Hubs,Ingestion Hazard,Rear Shock,Drive Unit,Battery,Charger,Display,Certifications,Brake Type
Topstone Carbon,Topstone Carbon 3 L,"$3,325",Carbon,C15303U,"Topstone Carbon, Kingpin suspension system, SmartSense equipped, Proportional Response construction, 12x142mm thru-axle, 27.2 dropper post ready, BSA 68mm threaded BB, DirectLine internal cable routing, removable fender bridge, multiple gear/bottle mounts","Topstone Carbon, 1-1/8"" to 1.5"" steerer, 55mm OutFront offset, flat mount disc, internal routing, 12x100 thru-axle, triple bottle/gear mounts, fender mounts","Integrated, 1-1/8"" - 1.5""","Shimano GRX 820, Shadow RD+","Shimano GRX 820, braze-on","Shimano GRX 600, 12-speed","Shimano HG M7100, 12-speed","Shimano GRX 610, 46/30","Shimano HG R7100, 11-34, 12-speed",Shimano BSA 68,"Shimano GRX 400 hydraulic disc, 160/160mm RT64 rotors",Shimano GRX 600 hydraulic disc,,,"WTB ST i23 TCS, 700c, 28h, tubeless ready","Stainless Steel, 14g",45,700c,"WTB Riddler TCS Light, 700x45c, tubeless ready","WTB Riddler TCS Light, 700x45c, tubeless ready","WTB Riddler TCS Light, 700x45c, tubeless ready","Cannondale 3, butted 6061 Alloy, 16 deg flare drop","Cannondale 3, 6061 Alloy, 31.8, 7°","Fizik Solocush Soft, 3mm",Fizik Aliante R7,"Cannondale 3 SmartSense, 6061 Alloy, 27.2x350mm",Cannondale Wheel Sensor,,https://embed.widencdn.net/img/dorelrl/ml0xeexqbd/800px@1x/C23_C15303U_Topstone_Crb_3_L_CRB_D7.jpg?color=f9f9f9&q=90,"(F) Formula cartridge bearing, 12x100mm centerlock / (R) Formula cartridge bearing, 12x142mm centerlock",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,
Habit,Habit Waves,"$3,325",Silver,C23451M,"130mm travel, SmartForm C1 Alloy, Proportional Response Tuned, Ai offset drivetrain, ISCG05, BSA 83, post mount brake, tapered headtube","Rockshox Yari RC, 140mm, 15x110, 51mm offset","Integrated Sealed Bearing, Tapered",SRAM SX Eagle,,"SRAM SX Eagle, 12-speed","SRAM SX Eagle, 12-speed","SRAM X1-1000 Eagle DUB, 30T, Ai offset","SRAM SX Eagle, 11-50, 12-speed",SRAM DUB BSA MTB83,"SRAM G2 R hydraulic disc, 200/180mm CenterLine rotors",SRAM G2 R hydraulic disc,"Shimano MT400, 15x110mm thru-axle","Shimano MT400, 12x148mm thru-axle","WTB ST i29 TCS, 32h, tubeless ready","Stainless Steel, 14g",2.5,29,"(F) Maxxis Minion DHF, 29x2.5"", EXO casing, tubeless ready (R) Maxxis Minion DHR II, 29x2.4"", EXO casing, tubeless ready",,,"Cannondale 3 Riser, 6061 Alloy, 15mm rise, 8° sweep, 4° rise, 780mm","Cannondale 3, 6061 Alloy, 31.8, 0°",Fabric FunGuy,"Fabric Magic Saddle, steel rails","Cannondale DownLow Dropper, internal routing, 31.6, 125mm (S), 150mm (M-XL)",,,https://embed.widencdn.net/img/dorelrl/jd8y3yjum3/800px@1x/C21_C23451M_Habit_Waves_RAW_D7.jpg?color=f7f7f7&q=90,,,"RockShox Deluxe Select, DebonAir, adjustable rebound",,,,,,Disc
Tesoro Neo X,Tesoro Neo X 3 StepThru,"$3,300",Mercury,C66044U,"SmartForm C2 Alloy, step-thru, removable 500Wh downtube battery, integrated front running light, tapered headtube, internal cable routing, 135mm QR hub spacing, IS disc mount, motor protection","SR Suntour Mobie A32, 63mm travel, coil with preload adjuster, lockout, crown light mount, 44mm offset","Semi-Integrated, Tapered; 1-1/8""-1-1/2""","microSHIFT Marvo, 9-speed",,"microSHIFT Marvo XPress M859, trigger style, 9-speed","KMC X9, 9-speed",FSA for Bosch,"microSHIFT H-Series, 11-36, 9-speed",,"Shimano MT400 hydraulic disc, 180/180mm RT30 rotors",Shimano MT400 hydraulic disc,,,"Alloy, double wall, 32 hole, 25mm internal width, disc-specific","Stainless Steel, 14g",29x2.2,27.5/29,"Continental Race King, 27.5x2.20"" 55-584 (SM), 29x2.20"" 55-622 (MD-LG)",,,"Cannondale 3 Riser, 6061 Alloy, 15mm rise, 8° sweep, 4° rise, 740mm","Cannondale 3 with Intellimount, Alloy, 31.8mm clamp","Cannondale Ergo Fitness Dual Density, Lock-on",Selle Royal Vivo Active Ergo with reflective accents,"Cannondale 4, 6061 Alloy, 31.6",,"Integrated headtube running light, Axa Compactline 35E front light, Axa Blueline rear light, Abus framelock (key-matched with battery lock), Tubus rear rack (25kg, Racktime compatible), full-coverage fenders",https://embed.widencdn.net/img/dorelrl/0l8aoz0ho9/800px@1x/C24_C66044U_Tesoro_Neo_X_3_STH_MRC_D9.jpg?color=fafafa&q=90,"(F) Shimano MT400B, 110x15mm thru-axle / (R) Shimano UR600, 135QR",,,"Bosch Performance Line, Smart System, 20 mph","Bosch PowerTube, 500Wh",Bosch 4A,Bosch Intuvia w/ LED remote,,
Tesoro Neo X,Tesoro Neo X 3,"$3,300",Mercury,C66014U,"SmartForm C2 Alloy, removable 500Wh downtube battery, integrated front running light, tapered headtube, internal cable routing, 135mm QR hub spacing, IS disc mount, motor protection","SR Suntour Mobie A32, 63mm travel, coil with preload adjuster, lockout, crown light mount, 44mm offset","Semi-Integrated, Tapered; 1-1/8""-1-1/2""","microSHIFT Marvo, 9-speed",,"microSHIFT Marvo XPress M859, trigger style, 9-speed","KMC Z9, 9-speed",FSA for Bosch,"microSHIFT H-Series, 11-36, 9-speed",,"Riderever Attack-U-OE, 2-piston hydraulic disc, 180/180 rotors","Riderever Attack-U-OE, hydraulic disc",,,"Alloy, double wall, 32 hole, 25mm internal width, disc-specific","Stainless Steel, 14g",29x2.2,27.5/29,"Continental Race King, 27.5x2.20"" 55-584 (SM), 29x2.20"" 55-622 (MD-XL)",,,"Cannondale 3 Riser, 6061 Alloy, 15mm rise, 8° sweep, 4° rise, 740mm","Cannondale 3 with Intellimount, Alloy, 31.8mm clamp","Cannondale Ergo Fitness Dual Density, Lock-on",Selle Royal Vivo Active Ergo with reflective accents,"Cannondale 4, 6061 Alloy, 31.6",,"Integrated headtube running light, Axa Compactline 35E front light, Axa Blueline rear light, Abus framelock (key-matched with battery lock), Tubus rear rack (25kg, Racktime compatible), full-coverage fenders",https://embed.widencdn.net/img/dorelrl/bv9ohb1mmx/800px@1x/C24_C66014U_Tesoro_Neo_X_3_MRC_D9.jpg?color=fafafa&q=90,"(F) Shimano MT400B, 110x15mm thru-axle / (R) Shimano UR600, 135QR",,,"Bosch Performance Line Sport, Smart System, 28mph","Bosch PowerTube, 500Wh",Bosch 4A,Bosch Intuvia w/LED remote,,
Topstone Carbon,Topstone Carbon 5,"$3,275",Graphite,C15601M,"BallisTec Carbon Frame, Kingpin suspension system, 12x142 Speed Release Thru-axle, dropper post compatible, direct line cable routing","BallisTec Full Carbon, 1-1/8"" to 1.5"" steerer, 55mm OutFront offset, flat mount disc, internal routing, 12x100 speed release thru axle","Integrated, 1-1/8"" - 1.5""","Shimano GRX 812, Shadow RD+","Shimano GRX 800, braze-on","Shimano GRX 600, 11-speed","KMC X11, 11-speed","Cannondale, BB30a, OPI SpideRing, 46/30","Shimano 105, 11-34, 11-speed",Cannondale BB30,"Shimano GRX 400 hydraulic disc, 160/160mm RT64 rotors",Shimano GRX 600 hydraulic disc,"Formula cartridge bearing, 12x100mm centerlock","Formula cartridge bearing, 12x142mm centerlock","WTB ST i23 TCS, 28h, tubeless ready","Stainless Steel, 14g",37,700c,"WTB Riddler TCS Light, 700x37c, tubeless ready",,,"Cannondale 3, butted 6061 alloy, 16 deg flare drop","Cannondale 3, 6061 Alloy, 31.8, 7°","Cannondale Bar Tape, 3.5mm","Fizik Aliante Delta, S-alloy rails","Cannondale 3, 6061 Alloy, 27.2x350mm",Cannondale Wheel Sensor,Removable fender bridge,/-/media/images/my20/bikes/road/gravel/topstone-carbon/topstone-carbon-in-the-wild-8.ashx,,WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,Disc
SuperSix EVO,SuperSix EVO Carbon Disc 105,"$3,200 - $3,225",Black Pearl,C11751M,"SuperSix EVO Carbon, integrated cable routing w/ Switchplate, 12x142 Speed Release thru-axle, SAVE, PF30a, flat mount disc, integrated seat binder","SuperSix EVO Carbon, SAVE, integrated crown race, 12x100mm Speed Release thru-axle, flat mount disc, internal routing, 1-1/8"" to 1-1/4"" steerer and 55mm offset (44-54cm), 1/8"" to 1-3/8” steerer and 45mm offset (56-62cm)","Integrated, 1-1/8"" - 1-1/4"" (44-54cm), 1-1/8"" - 1-3/8"" (56-62cm)",Shimano 105 GS,"Shimano 105, braze-on","Shimano 105, 11-speed","Shimano HG601, 11-speed","Cannondale 1, BB30a, 52/36","Shimano 105, 11-30, 11-speed",Cannondale Alloy PressFit30,"Shimano 105 hydraulic disc, 160/160mm RT64 rotors",Shimano 105,"Formula CL-712, 12x100mm centerlock","Formula RXC-400, 12x142mm centerlock","Cannondale RD 2.0 Disc, double wall w/ eyelet, 28h","Stainless Steel, 14g",25,700c,"Vittoria Zaffiro Pro Slick, 700x25c","Vittoria Zaffiro Pro Slick, 700x25c","Vittoria Zaffiro Pro Slick, 700x25c","Cannondale 3, 6061 Alloy, Compact","Cannondale 3, 6061 Alloy, 31.8, 7°","Cannondale Bar Tape, 3.5mm","Fizik Aliante Delta, S-alloy rails","HollowGram 27 KNØT, Alloy, 2 bolt clamp, 330mm, 15mm offset",,,/-/media/images/my20/bikes/road/race/supersix-evo/supersix-evo-in-the-wild-7.ashx,,,,,,,,,Disc
Adventure Neo,Adventure Neo 3 EQ,"$3,125",Rally Red,C68301U,"SmartForm C3 Alloy step-thru frame, removable downtube battery, fully internal cable routing, post mount disc, dual water bottle headtube mount","SR Suntour Mobie A32, 63mm travel, coil with preload adjuster, lockout, crown light mount, 44mm offset","Semi-Integrated, 1-1/8""","microSHIFT Marvo, 9-speed",,"microSHIFT Marvo XPress M859, trigger style, 9-speed","KMC Z9, 9-speed","FSA Bosch E-Bike, 38T","microSHIFT, 11-36, 9-speed",,"Tektro M275 hydraulic disc, 180/160mm rotors",Tektro hydraulic disc,,,"Cannondale 2, double wall","Stainless Steel, 14g",56,650b,"Kenda Kwick Seven.5, 27.5x2.20""","Kenda Kwick Seven.5, 27.5x2.20""","Kenda Kwick Seven.5, 27.5x2.20""","Cannondale E-Series Alloy, ergo backsweep, 680mm","Cannondale 3 with Intellimount, Alloy, 31.8mm clamp",Cannondale Comfort,Cannondale Ergo Comfort,"TranzX, suspension dropper post, 31.6, 50mm travel",,"Front and rear lights, fenders, rear carrier",https://embed.widencdn.net/img/dorelrl/h7ainopw7t/800px@1x/C21_C68301U_Adventure_Neo_3_EQ_RRD_D5.jpg?color=eff2f4&q=90,"(F) Formula DC-51, 15x100mm thru-axle / (R) Formula DC-1422, QR",,,Bosch Active Line,"Bosch PowerTube, 400Wh",Bosch 2A,Bosch Purion,UL 2849,Disc
Tesoro Neo X,Tesoro Neo X 2 Remixte,"$3,110.01$4,150",Midnight Blue,C66321U SMU,"Remixte Step-Thru, SmartForm C1 Alloy, removable downtube battery, SAVE, tapered headtube, internal cable routing, Ai offset drivetrain, 148x12mm thru-axle, post mount disc, integrated speed sensor, KickFlip hidden kickstand mount, motor protection, rack/fendor mount, lock mount","SR Suntour XCM 34 Boost, 100mm, 15x110, Coil, 51mm offset","Integrated Sealed Bearing, Tapered","microSHIFT XLE, medium cage",,"microSHIFT XLE Xpress Shifter, 11-speed","KMC X11, 11-speed","FSA Bosch E-Bike w/ custom Ai offset, 46T","microSHIFT H-Series, 11-46, 11-speed",,"Shimano MT200 hydraulic disc, 180/180mm RT10 rotors",Shimano MT200 hydraulic disc,"Shimano MT400, 15x110mm thru-axle","Shimano MT400, 12x148mm thru-axle","WTB STX i25 TCS, 32h, tubeless ready","Stainless Steel, 14g",2.25,29,"Schwalbe G-One Allround Performance, 29x2.25"", RaceGuard, tubeless ready",,,"Cannondale 3, 6061 double-butted, 20mm rise, 9° back, 720mm","Cannondale 3, 3D Forged 6061 Alloy, 1-1/8"", 31.8, 7°","Cannondale Ergo Fitness Dual Density, Lock-on",Cannondale Ergo Touring,"Cannondale 4, 6061 Alloy, 31.6",,"Herrmans H-Black MR4 front light, H-Trace Micro rear light, Tubus Wingee fender, Tubus rear rack (25kg max capacity)",https://embed.widencdn.net/img/dorelrl/pf1eyh3cqk/800px@1x/C21_C66321U_Tesoro_Neo_X_MDN_D9.jpg?color=ebeef5&q=90,,,,Bosch Performance Line Speed 250W (28mph),"Bosch PowerTube, 500Wh",Bosch 2A,Bosch Purion,UL 2849,Disc
Tesoro Neo X,Tesoro Neo X 2,"$3,110.01$4,150",Midnight Blue,C66321M SMU,"SmartForm C1 Alloy, Dual Battery ready, removable downtube battery, SAVE, tapered headtube, internal cable routing, Ai offset drivetrain, 148x12mm thru-axle, post mount disc, integrated speed sensor, KickFlip hidden kickstand mount, motor protection, rack/fendor mount, lock mount                                                                                            

Dual Battery ready
Removable downtube battery
SAVE
Tapered headtube
Internal cable routing
Ai offset drivetrain
148x12mm thru-axle
Post mount disc
KickFlip hidden kickstand mount","SR Suntour XCM 34 Boost, 100mm, 15x110, Coil, 46mm offset","Integrated Sealed Bearing, Tapered","microSHIFT XLE, medium cage",,"microSHIFT XLE Xpress Shifter, 11-speed","KMC X11, 11-speed","FSA Bosch E-Bike w/ custom Ai offset, 46T","microSHIFT H-Series, 11-46, 11-speed",,"Shimano MT200 hydraulic disc, 180/180mm RT30 rotors",Shimano MT200 hydraulic disc,"Shimano MT400, 15x110mm thru-axle","Shimano MT400, 12x148mm thru-axle","WTB STX i25 TCS, 32h, tubeless ready","Stainless Steel, 14g",2.25,29,"Schwalbe G-One Allround Performance, 29x2.25"", RaceGuard, tubeless ready",,,"Cannondale 3 Riser, 6061 Alloy, 15mm rise, 8° sweep, 4° rise, 740mm","Cannondale 3, 3D Forged 6061 Alloy, 1-1/8"", 31.8, 7°","Cannondale Ergo Fitness Dual Density, Lock-On",Cannondale Ergo Touring,"Cannondale 4, 6061 Alloy, 31.6",,"Herrmans H-Black MR4 front light, H-Trace Micro rear light, Tubus Wingee fender, Tubus rear rack (25kg max capacity)",https://embed.widencdn.net/img/dorelrl/bagrj1s88a/800px@1x/C21_C66321M_Tesoro_Neo_X_MDN_D9.jpg?color=ebeef5&q=90,,,,Bosch Performance Line Speed 250W (28mph),"Bosch PowerTube, 500Wh",Bosch 2A,Bosch Purion,UL 2849,Disc
SuperSix EVO SE,SuperSix EVO SE 2,"$3,050.01$4,050",Olive Green,C17272U,"SuperSix EVO CX Carbon, internal cable routing w/ Switchplate, 12x142mm Speed Release thru-axle, PF30-83 Ai, flat mount disc, integrated seatpost binder","SuperSix EVO CX Carbon, integrated crown race, 12x100mm Speed Release thru-axle, flat mount disc, internal routing, 1-1/8"" to 1-1/2"", 55mm offset","Integrated, 1-1/8"" - 1.5""","Shimano GRX 810, Shadow RD+","Shimano GRX 810, braze-on","Shimano GRX 600, 11-speed","Shimano HG601, 11-speed","Cannondale 1, PF83a w/ SpideRing, 46/30","Shimano 105, 11-34, 11-speed",Cannondale Alloy PressFit30,"Shimano GRX 400 hydraulic disc, 160/160mm RT70 rotors",Shimano GRX 600 hydraulic disc,,,"DT Swiss G540, 28h, 24mm IW, tubeless ready","Stainless Steel, 14g",40,700c,"Vittoria Terreno Dry TNT, 700x40c, tubeless ready","Vittoria Terreno Dry TNT, 700x40c, tubeless ready","Vittoria Terreno Dry TNT, 700x40c, tubeless ready","Cannondale 2, 6061 Alloy, Compact","Cannondale 2, 6061 Alloy, 31.8, 7°","Cannondale Bar Tape, 3.5mm","Prologo Dimension AGX, STN","HollowGram 27 SL KNØT, Carbon, 2 bolt clamp, 330mm, 0mm offset (46cm), 15mm offset (51-58cm)",,,https://embed.widencdn.net/img/dorelrl/jwxdqkudsq/800px@1x/C22_C17272U_SuperSix_EVO_SE_2_OGN_D7.jpg?color=F0ECE1&q=90,"(F) Formula CL-712, 12x100mm centerlock / (R) Formula RXC-400, 12x142mm centerlock, Ai offset",,,,,,,,
SuperSix EVO CX,SuperSix EVO CX,"$3,050.01 - $4,050",Gold Dust,C17201U,"SuperSix EVO CX Carbon, internal cable routing w/ Switchplate, 12x142mm Speed Release thru-axle, SAVE, PF30-83 Ai, flat mount disc, integrated seatpost binder","SuperSix EVO CX Carbon, SAVE, integrated crown race, 12x100mm Speed Release thru-axle, flat mount disc, internal routing, 1-1/8"" to 1-1/2"", 55mm offset","Integrated, 1-1/8"" - 1.5""","SRAM Force 1, Long cage",N/A (Braze-on compatible),"SRAM Force 1, 11-speed",SRAM CN-1130,"Cannondale 1, PF83A, OPI SpideRing, 40T","SRAM PG-1170, 11-36, 11-speed",Cannondale Alloy PressFit30,"SRAM Force 1 hydraulic Disc, 160/140mm CenterLine rotors",SRAM Force 1,,,"DT Swiss R470 db, 28h","Stainless Steel, 14g",33,700c,"Vittoria Terreno Mix TNT, 700x33c, tubeless ready","Vittoria Terreno Mix TNT, 700x33c, tubeless ready","Vittoria Terreno Mix TNT, 700x33c, tubeless ready","Cannondale 2, 6061 Alloy, Compact","Cannondale 3, 6061 Alloy, 31.8, 7°","Cannondale Bar Tape, 3.5mm","Fizik Aliante Delta, S-alloy rails","HollowGram 27 SL KNØT, Carbon, 2 bolt clamp, 330mm, 0mm offset all sizes",,,https://embed.widencdn.net/img/dorelrl/yegonyd8mx/800px@1x/C22_C17201U_SuperSix_EVO_CX_GDT_D7.jpg?color=ECECEC&q=90,"(F) Formula CL-712, 12x100mm centerlock / (R) Formula RXC-400, 12x142mm centerlock",,,,,,,,
Scalpel HT,Scalpel HT Carbon 3,"$3,025",Black,C25301U,"Scalpel HT Carbon, Proportional Response Design, PF30-83, tapered head tube, 55mm chainline, Speed Release 12mm thru axle w/UDH hanger","RockShox SID SL Select+ RL, 100mm, Debonair, remote lockout, 15x110mm thru-axle, tapered steerer, 44mm offset","Integrated, 1-1/8 to 1.5"", sealed angular contact bearings",Shimano XT,,"Shimano SLX, 12-speed","Shimano SLX, 12-speed","Cannondale 1, BB30 83MTB, OPI SpideRing, 34T, 55mm chainline","Shimano SLX, 10-51, 12-speed",Cannondale Alloy PressFit30,"Shimano M6100 hydraulic disc, 160/160mm RT64 rotors",Shimano M6100 hydraulic disc,,,"Stan's NoTubes Crest MK4, 28h, tubeless ready",DT Swiss Competition,2.25,29,"(F) Schwalbe Racing Ray EVO, 29x2.25"", Twinskin, tubeless ready, (R) Schwalbe Racing Ralph EVO, 29x2.25"", SnakeSkin, Addix compound, tubeless ready","Schwalbe Racing Ray EVO, 29x2.25"", Twinskin, tubeless ready","Schwalbe Racing Ralph EVO, 29x2.25"", SnakeSkin, Addix compound, tubeless ready","Cannondale 2 Flat, butted 2014 Alloy, 31.8mm, 3° rise, 8° sweep, 760mm","Cannondale 2, 6061 Alloy, 31.8, 7°",Cannondale XC Silicone,"Cannondale Scoop Shallow Elite, hollow cro-mo rails","C2 Carbon, 27.2x400mm",Cannondale Wheel Sensor,,https://embed.widencdn.net/img/dorelrl/yeqo75vlb6/800px@1x/C21_C25301U_Scalpel_HT_Crb_3_BLK_D7.jpg?color=f3f3f3&q=90,"(F) Shimano MT410, 15x110mm thru-axle / (R) Shimano MT510, 12x148mm thru-axle",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,
Synapse Carbon,Synapse Carbon 3 L,"$3,000",Cashmere,C12303U,"Synapse Carbon, SmartSense equipped, Proportional Response size-specific design, BSA threaded BB, flat mount brake, 12x142mm thru axle, thru-tube internal cable routing with Switch Plate, removable fender bridge, hidden rack/fender mounts","Synapse Carbon, integrated crown race, Proportional Response size-specific design, 12x100mm thru-axle, thru-tube internal routing, hidden fender mounts","Synapse Sealed Bearing, integrated, 1-1/4""-1-1/8""","Shimano 105 7100, 12-speed","Shimano 105 7100, braze-on","Shimano 105 7100, 12-speed","Shimano 105 7100, 12-speed","Shimano RS520, 50/34","Shimano 105 7100, 12-speed, 11-34",Shimano BSA,"Shimano 105 7170 hydraulic disc, 160/160 RT70 rotors","Shimano 105 7100, 12-speed",,,"RD 2.1, 28h, 21mm inner width","Stainless Steel, 14g",30,700,"Vittoria Zaffiro Pro Reflective, 700x30c",,,"Cannondale 3, 6061 Alloy, Compact","Cannondale 3, 6061 Alloy, 31.8, 7°",Fabric Knurl Bar Tape,"Fizik Aliante Delta, S-alloy rails","Cannondale 3 SmartSense, 6061 Alloy, 27.2x350mm (48-56), 400mm (58-61)",Cannondale Wheel Sensor,"SmartSense with Lights, Trainer-compatible thru-axle",https://embed.widencdn.net/img/dorelrl/mfhdf67b1b/800px@1x/C23_C12303U_Synapse_Crb_3_L_CAS_D7.jpg?color=ebe8e0&q=90,"(F) Formula cartridge bearing, 12x100mm centerlock / (R) Formula cartridge bearing, 12x142mm centerlock",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,
Synapse Carbon,Synapse Carbon 3 L,"$3,000 - $3,325",Black,C12302U,"Synapse Carbon, SmartSense enabled, Proportional Response size-specific design, BSA threaded BB, flat mount brake, 12x142mm thru-axle, thru-tube internal cable routing with Switch Plate, removable fender bridge, hidden rack/fender mounts","Synapse Carbon, integrated crown race, Proportional Response size-specific design, 12x100mm thru-axle, thru-tube internal routing, hidden fender mounts","Synapse Sealed Bearing, integrated, 1-1/4""-1-1/8""",Shimano 105 GS,"Shimano 105, braze-on","Shimano 105 hydraulic disc, 11-speed","Shimano HG701, 11-speed","Shimano RS510, BSA, 50/34","Shimano 105 11-34, 11-speed",Shimano BSA,"Shimano 105 hydraulic disc, 160/160mm RT70 rotors",Shimano 105 hydraulic,,,"RD 2.1, 28h, 21mm inner width","Stainless Steel, 14g",30,700c,"Vittoria Zaffiro Pro Reflective, 700x30c","Vittoria Zaffiro Pro Reflective, 700x30c","Vittoria Zaffiro Pro Reflective, 700x30c","Cannondale 3, 6061 Alloy, Compact","Cannondale 3, 6061 Alloy, 31.8, 7°",Fabric Knurl Bar Tape,"Fizik Aliante Delta, S-alloy rails","Cannondale 3 SmartSense, 6061 Alloy, 27.2x350mm (48-56), 400mm (58-61)",Cannondale Wheel Sensor,"SmartSense with Lights, Trainer-compatible thru-axle",https://embed.widencdn.net/img/dorelrl/jk4ykt739k/800px@1x/C21_C12302U_Synapse_Crb_3_L_BLK_D8.jpg?color=f3f3f3&q=90,"(F) Formula CL-712, 12x100mm centerlock / (R) Formula RXC-400, 12x142mm centerlock",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,
Habit,Habit 3,"$2,993$3,325",Purple Haze,C23301U,"Habit SmartForm C1 Alloy, 130mm travel, Proportional Response Suspension and Geo, 55mm chainline, ISCG05, BSA threaded BB, post mount brake, tapered headtube, DirectLine internal cable routing, UDH hanger","RockShox Pike, 140mm, DebonAir, 15x110mm thru-axle, tapered steered, 42mm offset","Integrated Sealed Bearing, Tapered",SRAM NX Eagle,,"SRAM NX Eagle, 12-speed","SRAM SX Eagle, 12-speed","SRAM NX Eagle DUB, 30T, 55mm chainline","SRAM NX Eagle, 10-50, 12-speed",SRAM DUB BSA MTB73 Wide,"SRAM G2 R hydraulic disc, 180/180mm CenterLine rotors",SRAM G2 R hydraulic disc,,,"Stan's NoTubes Arch D, 32h, tubeless ready","Stainless Steel, 14g",2.4,"29, 27.5 (XS)","(F) Maxxis Dissector, 29x2.4"" (27.5x2.4"" - XS) EXO, tubeless ready, (R) Maxxis Rekon, 29x2.4"" (27.5x2.4"" - XS) EXO, tubeless ready","Maxxis Dissector, 29x2.4"" (27.5x2.4"" - XS), EXO, tubeless ready","Maxxis Rekon, 29x2.4"" (27.5x2.4"" - XS), EXO, tubeless ready","Cannondale 3 Riser, 6061 Alloy, 15mm rise, 8° sweep, 4° rise, 780mm","Cannondale 3, 6061 Alloy, 31.8, 0°",Cannondale TrailShroom,"Cannondale Scoop Shallow Sport, steel rails","TranzX dropper, internal routing, 31.6, 130mm (XS-S), 150mm (M-XL)",,,https://embed.widencdn.net/img/dorelrl/x7vyyqtgxg/800px@1x/C23_C23301U_Habit_3_PRH_D7.jpg?color=F1F3FF&q=90,"(F) Shimano MT400, 15x110mm thru-axle / (R) Shimano MT410, 12x148mm thru-axle",,"RockShox Deluxe Select+, DebonAir, 2-Pos mode adjust, adjustable rebound",,,,,,
Adventure Neo,Adventure Neo 4,"$2,875",Grey,C68401U,"SmartForm C3 Alloy step-thru frame, removable downtube battery, fully internal cable routing, post mount disc, dual water bottle headtube mount","SmartForm C3 Alloy blades, 1-1/8"" steerer, post mount disc, mid-blade rack/fender mounts, crown accessory mount, 45mm offset","Semi-Integrated, 1-1/8""","microSHIFT Marvo, 9-speed",,"microSHIFT Marvo XPress M859, trigger style, 9-speed","KMC Z9, 9-speed","FSA Bosch E-Bike, 38T","microSHIFT, 11-36, 9-speed",,"Tektro M275 hydraulic disc, 180/160mm rotors",Tektro hydraulic disc,,,"Cannondale 2, double wall","Stainless Steel, 14g",56,650b,"Kenda Kwick Seven.5, 27.5x2.20""","Kenda Kwick Seven.5, 27.5x2.20""","Kenda Kwick Seven.5, 27.5x2.20""","Cannondale E-Series Alloy, ergo backsweep, 680mm","Cannondale 3 with Intellimount, Alloy, 31.8mm clamp",Cannondale Comfort,Cannondale Ergo Comfort,"Cannondale 4, 6061 Alloy, 31.6x350mm",,Kickstand,https://embed.widencdn.net/img/dorelrl/1f7dxtnvkj/800px@1x/C21_C68401U_Adventure_Neo_4_GRY_D5.jpg?color=f3f3f3&q=90,"(F) Formula DC-1420, QR / (R) Formula DC-1422, QR",,,Bosch Active Line,"Bosch PowerTube, 400Wh",Bosch 2A,Bosch Purion,UL 2849,Disc
